PrimaryDI,publicDeviceRecordKey,publicVersionStatus,deviceRecordStatus,publicVersionNumber,publicVersionDate,devicePublishDate,deviceCommDistributionEndDate,deviceCommDistributionStatus,brandName,versionModelNumber,catalogNumber,dunsNumber,companyName,deviceCount,deviceDescription,DMExempt,premarketExempt,deviceHCTP,deviceKit,deviceCombinationProduct,singleUse,lotBatch,serialNumber,manufacturingDate,expirationDate,donationIdNumber,labeledContainsNRL,labeledNoNRL,MRISafetyStatus,rx,otc,deviceSterile,sterilizationPriorToUse
846468020071,3b9dc245-4402-48b5-aff0-8ae4187f46e5,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-PA-55,10-775-PA-55,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468020064,ad12b359-bfe3-4c0d-88da-4ee898f60009,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-PA-50,10-775-PA-50,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468020057,56f01051-273c-43a2-9451-12d6468f1e11,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-PA-45,10-775-PA-45,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468020040,d11bb977-56c4-413b-adad-f1183708e484,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-PA-40,10-775-PA-40,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468020033,f65b67b6-c828-4923-b759-313875487489,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-PA-35,10-775-PA-35,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468020026,e1a03cd1-dae1-4de3-a680-cb2f9bb1aaec,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-PA-30,10-775-PA-30,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468020019,46d86100-7844-4626-92dc-9cf400c81f25,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-PA-100,10-775-PA-100,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468020002,40dbe60d-0f3f-422f-b7cd-4699c8d187e0,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-FX-50,10-775-FX-50,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019990,ca90fcf1-40d2-40f3-855f-e630a79ab4a0,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-FX-45,10-775-FX-45,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019983,a1ec6893-0254-43cf-a389-aabf664d46ee,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-FX-40,10-775-FX-40,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
