Key,Parent key,Code,Title
100,99999,A,"Raw Materials, Chemicals, Paper, Fuel"
101,99999,B,Industrial Equipment & Tools
102,99999,C,Components & Supplies
103,99999,D," Construction, Transportation & Facility Equipment & Supplies"
104,99999,E,"Medical, Laboratory & Test Equipment & Supplies & Pharmaceuticals"
105,99999,F,"Food, Cleaning & Service Industry Equipment & Supplies"
106,99999,G,"Business, Communication & Technology Equipment & Supplies"
107,99999,H,"Defense, Security & Safety Equipment & Supplies"
108,99999,I," Personal, Domestic & Consumer Equipment & Supplies"
109,99999,J,Services
100001,100,10000000,Live Plant and Animal Material and Accessories and Supplies
100002,100001,10100000,Live animals
100003,100002,10101500,Livestock
100004,100003,10101501,Cats
100005,100003,10101502,Dogs
100008,100003,10101506,Horses
100009,100003,10101507,Sheep
100010,100003,10101508,Goats
100011,100003,10101509,Asses
100013,100003,10101511,Swine
100014,100003,10101512,Rabbits
100015,100003,10101513,Guinea pigs
100018,100003,10101516,Cattle
100019,100002,10101600,Birds and fowl
100020,100019,10101601,Live chickens
100021,100019,10101602,Live ducks
100022,100019,10101603,Live turkeys
100023,100019,10101604,Live geese
100024,100019,10101605,Live pheasants
100025,100002,10101700,Live fish
100026,100025,10101701,Live salmon
100029,100002,10101800,Shellfish and aquatic invertebrates
100030,100029,10101801,Live shrimp
100038,100002,10101900,Insects
100041,100038,10101903,Bees
100042,100038,10101904,Silkworms
100043,100001,10120000,Animal feed
100044,100043,10121500,Livestock feed
100045,100044,10121501,Pure wheat bran
100050,100043,10121600,Bird and fowl food
100051,100050,10121601,Live food for birds
100053,100043,10121700,Fish food
100054,100053,10121701,Fresh or frozen brine
100057,100043,10121800,Dog and cat food
100058,100057,10121801,Dry food for dogs
100066,117163,10131600,Animal containment
100067,117163,10131500,Animal shelters
100068,100066,10131601,Cages or its accessories
100069,107461,10131701,Terrariums
100071,100066,10131602,Kennels
100073,100001,10140000,Saddlery and harness goods
100074,100073,10141500,Saddlery
100075,100074,10141501,Saddles
100084,100001,10150000,Seeds and bulbs and seedlings and cuttings
100085,100084,10151500,Vegetable seeds and seedlings
100086,184322,10152301,Bean seeds or seedlings
100087,184323,10152404,Carrot seeds or seedlings
100088,100085,10151503,Celery seeds or seedlings
100089,100085,10151504,Chili seeds or seedlings
100090,100085,10151505,Courgette seeds or seedlings
100091,100085,10151506,Pea seeds or seedlings
100092,100085,10151507,Cucumber seeds or seedlings
100093,100085,10151508,Eggplant seeds or seedlings
100094,100085,10151509,Endive seeds or seedlings
100095,100085,10151510,Garlic seeds or seedlings
100096,100085,10151511,Leek seeds or seedlings
100097,100085,10151512,Lettuce seeds or seedlings
100098,100085,10151513,Corn seeds or seedlings
100099,100085,10151514,Melon seeds or seedlings
100100,100085,10151515,Onion seeds or seedlings
100101,184322,10152302,Soya seeds or seedlings
100102,100085,10151517,Spinach seeds or seedlings
100103,100085,10151518,Tomato seeds or seedlings
100104,184323,10152402,Turnip seeds or seedlings
100105,100085,10151520,Chard seeds or seedlings
100106,100084,10151600,Cereal seeds
100107,100106,10151601,Wheat seeds
100108,100106,10151602,Colza seeds
100109,100106,10151603,Barley seeds
100110,100106,10151604,Millet seeds
100111,100106,10151605,Oat seeds
100112,100106,10151606,Sesame seeds
100113,100106,10151607,Linseed seeds
100114,100106,10151608,Castor oil seeds
100115,100106,10151609,Maize seeds
100116,100106,10151610,Rye seeds
100117,100106,10151611,Sorghum seeds
100118,100084,10151700,Grass and forage seeds and seedlings
100119,100106,10151614,Rice seeds or seedlings
100123,100084,10151800,Spice crop seeds and seedlings
100134,100084,10151900,Flower seeds and bulbs and seedlings and cuttings
100138,100084,10152000,Tree and shrub seeds and cuttings
100139,100138,10152001,Fruit tree seeds or cuttings
100141,100138,10152003,Nut tree seeds or cuttings
100142,100001,10160000,Floriculture and silviculture products
100143,100142,10161500,Trees and shrubs
100168,100001,10170000,Fertilizers and plant nutrients and herbicides
100169,100168,10171500,Organic fertilizers and plant nutrients
100170,100169,10171501,Manure or guano
100171,100169,10171502,Plant hormones
100173,100168,10171600,Chemical fertilizers and plant nutrients
100174,100173,10171601,Ammonium nitrate fertilizer
100175,100173,10171602,Potassic fertilizer
100176,100173,10171603,Phosphatic fertilizer
100177,100173,10171604,Sulphuric fertilizer
100178,100173,10171605,Nitrogen Phosphorous Potassium Mixtures NPK
100179,100001,10190000,Pest control products
100180,100179,10191500,Pesticides or pest repellents
100181,100180,10191509,Insecticides
100183,100180,10191506,Rodenticides
100188,100179,10191700,Pest control devices
100189,100,11000000,Mineral and Textile and Inedible Plant and Animal Materials
100190,100189,11100000,Minerals and ores and metals
100191,100190,11101500,Minerals
100192,100191,11101501,Mica
100197,100191,11101506,Chalk
100212,100190,11101600,Ores
100231,100190,11101700,Base Metals
100247,100190,11101800,Precious metals
100251,100189,11110000,Earth and stone
100252,100251,11111500,Dirt and soil
100253,100252,11111501,Soil
100256,100251,11111600,Stone
100257,100256,11111601,Gypsum
100258,100256,11111602,Travertine
100259,100256,11111603,Ecaussine or alabaster
100260,100256,11111604,Granite
100261,100256,11111605,Marble
100262,100256,11111606,Slate
100263,100256,11111607,Sandstone
100264,100256,11111608,Limestone
100265,100251,11111700,Sand
100266,100265,11111701,Silica sand
100267,100251,11111800,Clays
100268,100267,11111801,Terra cotta
100269,100267,11111802,Fireclay
100270,100267,11111803,Kaolin or other kaolinic clays
100271,100267,11111804,Bentonite
100272,100267,11111805,Andalusite
100273,100267,11111806,Mullite
100274,100267,11111807,Chamotte
100275,100267,11111808,Common clay
100276,100267,11111809,Ball clay
100277,100267,11111810,Fullers earth
100278,100189,11120000,Non edible plant and forestry products
100279,100278,11121500,Sap
100281,100279,11121502,Rosin
100282,100278,11121600,Wood
100283,100282,11121603,Logs
100284,100282,11121604,Soft timber
100285,100282,11121605,Rattan
100286,100282,11121606,Cork
100287,100282,11121607,Wood pulp
100288,100282,11121608,Bamboo
100289,100278,11121700,Forestry byproducts
100298,100278,11121800,Plant fibers
100307,100189,11130000,Non edible animal products
100308,100307,11131500,Animal hides and skins and animal textile materials
100309,100308,11131501,Feathers
100316,100307,11131600,Other animal products
100318,100316,11131602,Semen
100323,100316,11131607,Embryos
100324,100189,11140000,Scrap and waste materials
100329,100324,11141600,Non metallic waste and scrap
100338,100324,11141700,Food and tobacco waste and scrap
100341,100189,11150000,Fibers and threads and yarns
100342,100341,11151500,Fibers
100353,100341,11151600,Threads
100363,100341,11151700,Yarns
100370,100189,11160000,Fabrics and leather materials
100371,100370,11161500,Silk fabrics
100376,100370,11161600,Wool fabrics
100380,100370,11161700,Cotton fabrics
100386,100370,11161800,Synthetic fabrics
100398,100370,11162000,Fabrics of vegetable material other than cotton
100401,100370,11162100,Specialty fabrics or cloth
100402,100401,11162101,Cheese cloth or fabric
100403,100401,11162102,Bismalemide fabric or cloth
100405,100401,11162104,Graphite fabric or cloth
100406,100401,11162105,Glass fabric or cloth
100408,100401,11162107,Resin impregnated fabric or cloth
100409,100401,11162108,Wire mesh fabric or cloth
100410,100401,11162109,Lace
100411,100401,11162110,Netting
100412,100401,11162111,Mesh
100413,100401,11162112,Coated fabrics
100414,100401,11162113,Upholstery fabrics
100415,100,12000000,Chemicals including Bio Chemicals and Gas Materials
100514,110290,12141800,Alkali metals
100588,110619,12142201,Deuterated solvents
100589,110619,12142202,Heavy water
100590,110619,12142203,Alpha sources
100591,110619,12142204,Beta sources
100592,110619,12142205,Cobalt sources
100593,110619,12142206,Gamma sources
100595,110619,12142207,Radioisotope sources
100596,110619,12142208,Calibration sources
100621,100415,12130000,Explosive materials
100622,100621,12131500,Explosives
100623,100622,12131501,Dynamite
100624,100622,12131502,Explosive cartridges
100625,100622,12131503,Propellant explosives
100626,100622,12131504,Explosive charges
100627,100622,12131505,Plastic explosives
100628,100622,12131506,Aluminized explosives
100629,100622,12131507,Ammonium nitrate explosives
100630,100622,12131508,Nitroglycerin powder explosives
100631,100621,12131600,Pyrotechnics
100637,100621,12131700,Igniters
100639,100637,12131702,Detonators
100640,100637,12131703,Explosives fuses
100641,100637,12131704,Explosive initiators
100642,100637,12131705,Explosive primers
100643,100621,12131800,Propellants
100650,100,13000000,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials
100651,100650,13100000,Rubber and elastomers
100652,100651,13101500,Natural rubber
100657,100651,13101600,Processed and synthetic rubber
100664,100651,13101700,Elastomers
100690,100651,13101900,Thermoset plastics
100697,100651,13102000,Thermoplastic plastics
100729,117189,13111000,Resins
100747,117188,13111202,Polyurethane films
100748,100,14000000,Paper Materials and Products
100749,100748,14100000,Paper materials
100750,100749,14101500,Raw materials
100751,100750,14101501,Paper pulp
100752,100748,14120000,Industrial use papers
100754,100752,14121500,Paperboard and packaging papers
100755,107497,14121901,Standard newsprint
100756,107492,14121807,Butcher papers
100757,100748,14110000,Paper products
100758,100757,14111500,Printing and writing paper
100759,100758,14111501,Onion skin paper
100760,100758,14111502,Vellum paper
100761,100758,14111503,Parchment paper
100762,100758,14111504,Tractor feed paper
100763,100758,14111505,Mimeograph paper
100764,100758,14111506,Computer printout paper
100765,100758,14111507,Printer or copier paper
100766,100758,14111508,Facsimile paper
100767,100758,14111509,Stationery
100768,100758,14111510,Plotter paper
100769,100758,14111511,Writing paper
100770,100758,14111512,Graph paper
100771,100758,14111513,Ledger paper
100772,100758,14111514,Paper pads or notebooks
100773,100758,14111515,Calculator or cash register paper
100774,100758,14111516,Notebook filler paper
100775,133347,14111806,Business forms or questionnaires
100776,100757,14111600,Novelty paper
100777,100776,14111601,Gift wrapping paper or bags or boxes
100780,100776,14111604,Business cards
100781,100776,14111605,Greeting or note or post cards
100782,100757,14111700,Personal paper products
100783,100782,14111701,Facial tissues
100784,100782,14111702,Toilet seat covers
100785,100782,14111703,Paper towels
100786,100782,14111704,Toilet tissue
100787,100,15000000,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
100788,100787,15100000,Fuels
100789,100788,15101500,Petroleum and distillates
100790,100788,15101700,Fuel Oils
100791,100789,15101502,Kerosene
100792,100789,15101503,Naphtha
100793,100789,15101504,Aviation fuel
100794,100789,15101505,Diesel fuel
100795,100789,15101506,Gasoline or Petrol
100796,100789,15101507,Benzene
100797,100789,15101508,Crude oil
100798,100789,15101509,Marine fuel
100799,100788,15101600,Solid and gel fuels
100803,100787,15110000,Gaseous fuels and additives
100804,100803,15111500,Gaseous fuels
100805,100804,15111501,Propane
100806,100804,15111502,Methane
100807,100804,15111503,Propylene
100808,100804,15111504,Ethylene
100809,100804,15111505,Butane
100814,100787,15120000,Lubricants and oils and greases and anti corrosives
100815,100814,15121500,Lubricating preparations
100816,100815,15121501,Engine oil
100819,100815,15121504,Hydraulic oil
100823,100815,15121508,Transmission oil
100825,110513,12181500,Waxes
100831,100814,15121800,Anti corrosives
100836,100787,15130000,Fuel for nuclear reactors
100837,100836,15131500,Nuclear fuel
100838,107504,15131601,Nuclear fuel rod
100839,100837,15131502,Depleted uranium
100840,100837,15131503,Enriched uranium
100841,100837,15131504,Iridium
100842,100837,15131505,Enriched plutonium
100843,100837,15131506,Depleted plutonium
100844,101,20000000,Mining and Well Drilling Machinery and Accessories
100845,100844,20100000,Mining and quarrying machinery and equipment
100846,100845,20101500,Cutting equipment
100848,100846,20101502,Longwall shears
100851,100845,20101600,Screens and feeding equipment
100854,100845,20101700,Crushers and breakers and grinders
100863,100854,20101709,Ball mills
100867,100844,20110000,Well drilling and operation equipment
100868,100867,20111500,Drilling and exploration equipment
100872,100868,20111504,Water well drilling equipment
100873,100868,20111505,Uranium exploration equipment
100877,100867,20111600,Drilling and operation machinery
100882,100845,20102100,Rock drills
100896,100867,20111700,Drilling and operation accessories
100901,101,21000000,Farming and Fishing and Forestry and Wildlife Machinery and Accessories
100902,100901,21100000,Agricultural and forestry and landscape machinery and equipment
100903,100902,21101500,Agricultural machinery for soil preparation
100904,100903,21101501,Ploughs
100905,100903,21101502,Harrows
100906,100903,21101503,Cultivators
100907,100903,21101504,Weeders
100908,100903,21101505,Hoeing machines
100909,100903,21101506,Graders or land levelers
100910,100903,21101507,Agricultural rollers
100911,100903,21101508,Rollers for lawn or sports grounds
100912,100903,21101509,Trencher drainage machine
100914,184366,21102501,Irrigation trickles
100915,184366,21102502,Irrigation overheads
100918,100902,21101600,Agricultural machinery for planting and seeding
100919,100918,21101601,Planters
100925,100902,21101700,Agricultural machinery for harvesting
100926,100925,21101701,Mowers
100928,100925,21101703,Harvesters
100930,100925,21101705,Threshing machines
100931,100902,21101800,Dispersing and spraying appliances for agriculture
100932,100931,21101801,Sprayers
100933,100931,21101802,Dusters
100934,100931,21101803,Water sprinklers
100935,100931,21101804,Fertilizer spreaders or distributors
100936,100931,21101805,Fog or mist generators
100937,100931,21101806,Composter
100938,100931,21101807,Pollination equipment or supplies
100939,100931,21101808,Frost protection equipment
100940,100902,21101900,Poultry and livestock equipment
100941,100940,21101901,Milking machines
100943,100940,21101903,Incubators or brooders for poultry
100945,100940,21101905,Livestock identification equipment
100946,100940,21101906,Egg inspection or collecting equipment
100949,100902,21102000,Agricultural machinery for cleaning and sorting and grading
100950,100949,21102001,Cleaning machines for seed or grain or dried leguminous vegetables
100951,100949,21102002,Sorting machines for seed or grain or dried leguminous vegetables
100956,100902,21102100,Agricultural processing machinery and equipment
100958,100902,21102200,Forestry machinery and equipment
100966,100902,21102300,Greenhouse equipment
100971,100902,21102400,Insect equipment
100972,100971,21102401,Beekeeping equipment
100976,100901,21110000,Fishing and aquaculture equipment
100977,100976,21111500,Commercial fishing equipment
100978,100977,21111501,Commercial fish hooks
100981,100977,21111504,Commercial fishing nets
100985,100976,21111600,Aquaculture equipment
100988,103,22000000,Building and Construction Machinery and Accessories
100989,100988,22100000,Heavy construction machinery and equipment
100990,100989,22101500,Earth moving machinery
100991,100990,22101501,Front end loaders
100992,100990,22101502,Graders
100994,100990,22101504,Pile drivers
100995,100990,22101505,Rollers
100997,100990,22101507,Tampers
100998,100990,22101508,Trenching machines
100999,100990,22101509,Backhoes
101001,100990,22101511,Compactors
101003,100990,22101513,Draglines
